X,Y,Estimate
1,2,0.988
1,3,0.979
1,4,0.999
1,5,0.979
1,6,0.875
1,7,0.863
1,8,0.976
1,9,0.747
1,10,0.736
1,11,0.852
1,12,0.81
1,13,0.836
1,14,0.832
1,15,0.813
1,16,0.855
1,17,0.761
1,18,0.975
1,19,0.907
1,20,0.85
1,21,0.153
1,22,0.941
1,23,0.976
1,24,0.904
1,25,0.911
1,26,0.744
1,27,0.723
1,28,0.924
2,3,0.998
2,4,0.983
2,5,0.996
2,6,0.816
2,7,0.862
2,8,0.984
2,9,0.681
2,10,0.667
2,11,0.813
2,12,0.753
2,13,0.825
2,14,0.782
2,15,0.813
2,16,0.855
2,17,0.701
2,18,0.996
2,19,0.907
2,20,0.881
2,21,0.061
2,22,0.908
2,23,0.943
2,24,0.904
2,25,0.892
2,26,0.766
2,27,0.725
2,28,0.882
3,4,0.974
3,5,0.997
3,6,0.804
3,7,0.852
3,8,0.982
3,9,0.655
3,10,0.642
3,11,0.791
3,12,0.728
3,13,0.83
3,14,0.758
3,15,0.801
3,16,0.848
3,17,0.675
3,18,0.997
3,19,0.906
3,20,0.896
3,21,0.043
3,22,0.897
3,23,0.935
3,24,0.901
3,25,0.888
3,26,0.771
3,27,0.726
3,28,0.865
4,5,0.977
4,6,0.887
4,7,0.85
4,8,0.966
4,9,0.747
4,10,0.738
4,11,0.844
4,12,0.807
4,13,0.833
4,14,0.826
4,15,0.798
4,16,0.842
4,17,0.758
4,18,0.97
4,19,0.896
4,20,0.846
4,21,0.171
4,22,0.941
4,23,0.981
4,24,0.892
4,25,0.905
4,26,0.761
4,27,0.741
4,28,0.92
5,6,0.817
5,7,0.847
5,8,0.969
5,9,0.65
5,10,0.637
5,11,0.784
5,12,0.722
5,13,0.822
5,14,0.751
5,15,0.793
5,16,0.84
5,17,0.669
5,18,0.993
5,19,0.896
5,20,0.881
5,21,0.043
5,22,0.885
5,23,0.936
5,24,0.892
5,25,0.878
5,26,0.802
5,27,0.765
5,28,0.855
6,7,0.734
6,8,0.793
6,9,0.763
6,10,0.761
6,11,0.781
6,12,0.788
