SampleID,TP,Treatment,Pond,Replicate,Astatotilapia_calliptera,Abramis_brama,Alburnus_alburnus,Barbus_barbus,Carassius_carassius,Gobio_gobio,Leuciscus_idus,Leuciscus_leuciscus,Rutilus_rutilus,Scardinius_erythrophthalmus,Squalius_cephalus,Tinca_tinca,Salmo_trutta,unassigned
Blank1,CtrlBlank,Ctrl,Blank,1,0,0,0,0,0,224,0,0,0,0,3433,250,0,44684
Blank2,CtrlBlank,Ctrl,Blank,2,0,0,17,0,0,52,0,0,5017,4,131,0,6046,12340
Blank3,CtrlBlank,Ctrl,Blank,3,0,0,0,0,0,0,0,0,0,0,79,118,0,24589
Blank4,CtrlBlank,Ctrl,Blank,4,0,0,7,0,0,0,0,0,1155,0,1699,0,286,2515
Blank5,CtrlBlank,Ctrl,Blank,5,37,0,0,0,0,0,0,0,0,0,621,0,462,6414
Neg1,CtrlNeg,Ctrl,Neg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neg2,CtrlNeg,Ctrl,Neg,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6306
Neg3,CtrlNeg,Ctrl,Neg,3,0,0,0,0,0,0,0,0,0,0,0,0,0,401
Neg4,CtrlNeg,Ctrl,Neg,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neg5,CtrlNeg,Ctrl,Neg,5,4,0,0,0,0,0,0,0,0,0,0,0,5,1080
Pos1,CtrlPos,Ctrl,Pos,1,12125,0,0,0,0,0,0,0,0,0,0,0,0,4819
Pos2,CtrlPos,Ctrl,Pos,2,6542,0,0,0,0,0,0,0,0,0,0,0,0,2284
Pos3,CtrlPos,Ctrl,Pos,3,24856,0,0,0,0,0,0,0,5,0,4,0,0,8340
Pos4,CtrlPos,Ctrl,Pos,4,13214,0,0,0,0,0,0,0,0,0,0,0,0,4926
Pos5,CtrlPos,Ctrl,Pos,5,8676,0,0,0,0,0,0,0,0,0,4,0,0,3268
T1-1-1,T1E1,T1,E1,1,0,0,0,83,71,50,0,3,511,0,1464,260,620,2045
T1-1-2,T1E1,T1,E1,2,0,0,4,35,259,489,0,0,2015,0,5737,1348,2221,10059
T1-1-3,T1E1,T1,E1,3,0,0,0,5,75,199,0,3,625,0,1992,483,1011,2916
T1-1-4,T1E1,T1,E1,4,0,0,0,94,91,190,0,0,445,0,1346,242,458,1856
T1-1-5,T1E1,T1,E1,5,0,0,0,3,116,121,0,0,461,0,1459,340,790,2029
T1-2-1,T1E2,T1,E2,1,0,0,0,368,159,0,167,3706,3,3,4,0,0,994
T1-2-2,T1E2,T1,E2,2,0,0,0,1127,0,0,221,2025,271,5,295,249,6,658
T1-2-3,T1E2,T1,E2,3,0,0,0,181,0,0,151,2469,204,4,7,0,0,927
T1-2-4,T1E2,T1,E2,4,0,0,0,271,0,3,4,804,6,0,579,4,493,572
T1-2-5,T1E2,T1,E2,5,0,0,106,736,650,0,3,2682,680,4,7,5,0,1093
T1-3-1,T1E3,T1,E3,1,0,0,0,0,251,0,0,0,538,4,1511,531,0,1287
T1-3-2,T1E3,T1,E3,2,0,0,0,0,127,205,0,0,688,4,2116,593,1019,3041
T1-3-3,T1E3,T1,E3,3,0,0,0,0,23,116,0,0,362,0,997,250,277,1055
T1-3-4,T1E3,T1,E3,4,3,0,0,0,206,67,0,0,555,3,1107,324,134,929
T1-3-5,T1E3,T1,E3,5,0,0,0,0,284,0,0,0,431,0,1065,189,0,923
T1-4-1,T1E4,T1,E4,1,0,88,0,380,0,0,0,246,0,353,0,88,44,258
T1-4-2,T1E4,T1,E4,2,0,4,0,447,87,198,5,626,135,485,602,522,130,1258
T1-4-3,T1E4,T1,E4,3,0,85,0,213,65,0,3,239,134,130,148,224,99,207
T1-4-4,T1E4,T1,E4,4,0,149,0,223,39,3,7,665,151,1146,465,565,120,729
T1-4-5,T1E4,T1,E4,5,0,67,0,403,163,78,3,409,139,155,239,290,3,702
T2-1-1,T2E1,T2,E1,1,0,0,0,156,65,0,0,0,68,0,568,0,0,377
