Pond,Species,Date,Weight,Number,Biomass
E1,Rutilus_rutilus,Jun-15,3.74,34948,130.70552
E1,Rutilus_rutilus,Aug-15,5.9572,33515,199.655558
E1,Rutilus_rutilus,Jan-16,11.5,29931,344.2065
E1,Barbus_barbus,Jun-15,6.4,10000,64
E1,Barbus_barbus,Aug-15,12.2572,9695,118.833554
E1,Barbus_barbus,Jan-16,26.9,8934,240.3246
E1,Squalius_cephalus,Jun-15,19.83,15000,297.45
E1,Squalius_cephalus,Aug-15,29.7932,14943,445.1997876
E1,Squalius_cephalus,Jan-16,54.7,14802,809.6694
E1,Abramis_brama,Jun-15,4.63,500,2.315
E1,Abramis_brama,Aug-15,14.1072,500,7.0536
E1,Abramis_brama,Jan-16,37.8,500,18.9
E1,Tinca_tinca,Jun-15,3.75,1000,3.75
E1,Tinca_tinca,Aug-15,11.5614,944,10.9139616
E1,Tinca_tinca,Jan-16,31.09,805,25.02745
E1,Carassius_carassius,Jun-15,6.1,500,3.05
E1,Carassius_carassius,Aug-15,20.9286,489,10.2340854
E1,Carassius_carassius,Jan-16,58,462,26.796
E2,Rutilus_rutilus,Jun-15,8.2,4925,40.385
E2,Rutilus_rutilus,Aug-15,11.0858,4730,52.435834
E2,Rutilus_rutilus,Jan-16,18.3,4243,77.6469
E2,Leuciscus_leuciscus,Jun-15,4.93,35003,172.56479
E2,Leuciscus_leuciscus,Aug-15,8.2642,34729,287.0074018
E2,Leuciscus_leuciscus,Jan-16,16.6,34043,565.1138
E2,Barbus_barbus,Jun-15,17.1,10000,171
E2,Barbus_barbus,Aug-15,30.5,9691,295.5755
E2,Barbus_barbus,Jan-16,64,8917,570.688
E2,Abramis_brama,Jun-15,4.63,500,2.315
E2,Abramis_brama,Aug-15,9.7358,487,4.7413346
E2,Abramis_brama,Jan-16,22.5,455,10.2375
E2,Carassius_carassius,Jun-15,6.1,5000,30.5
E2,Carassius_carassius,Aug-15,17.6714,4910,86.766574
E2,Carassius_carassius,Jan-16,46.6,4684,218.2744
E3,Squalius_cephalus,Jun-15,18.04,20000,360.8
E3,Squalius_cephalus,Aug-15,28.6057,18967,542.5643119
E3,Squalius_cephalus,Jan-16,55.02,16385,901.5027
E3,Rutilus_rutilus,Jun-15,6.19,30313,187.63747
E3,Rutilus_rutilus,Aug-15,10.65,30156,321.1614
E3,Rutilus_rutilus,Jan-16,21.8,29765,648.877
E3,Carassius_carassius,Jun-15,6.1,3500,21.35
E3,Carassius_carassius,Aug-15,16.87142857,3474,58.61134286
E3,Carassius_carassius,Jan-16,43.8,3409,149.3142
E3,Tinca_tinca,Jun-15,4.58,5000,22.9
E3,Tinca_tinca,Aug-15,12.18571429,4773,58.16241429
E3,Tinca_tinca,Jan-16,31.2,4204,131.1648
E4,Leuciscus_leuciscus,Jun-15,5.48,29987,164.32876
E4,Leuciscus_leuciscus,Aug-15,8.457142857,29322,247.9803429
E4,Leuciscus_leuciscus,Jan-16,15.9,27662,439.8258
E4,Barbus_barbus,Jun-15,15,9997,149.955
E4,Barbus_barbus,Aug-15,28.25714286,9508,268.6689143
E4,Barbus_barbus,Jan-16,61.4,8285,508.699
E4,Scardinius_erythrophthalmus,Jun-15,5.67,10000,56.7
E4,Scardinius_erythrophthalmus,Aug-15,8.535714286,8334,71.13664286
E4,Scardinius_erythrophthalmus,Jan-16,15.7,4170,65.469
E4,Abramis_brama,Jun-15,4.63,5000,23.15
E4,Abramis_brama,Aug-15,10.59285714,4962,52.56175714
E4,Abramis_brama,Jan-16,25.5,4866,124.083
E4,Carassius_carassius,Jun-15,74.64,200,14.928
E4,Carassius_carassius,Aug-15,88.34285714,199,17.58022857
E4,Carassius_carassius,Jan-16,122.6,198,24.2748
E4,Tinca_tinca,Jun-15,3.43,5000,17.15
E4,Tinca_tinca,Aug-15,9.135714286,4763,43.51340714
E4,Tinca_tinca,Jan-16,23.4,4169,97.5546
