SampleID,Treatment,Pond,Replicate,Time,DNA,Outlier
T1-1-1,T1_0.45,E1,1,120,55.06,No
T1-1-2,T1_0.45,E1,2,120,14.28,No
T1-1-3,T1_0.45,E1,3,120,36.35,No
T1-1-4,T1_0.45,E1,4,90,61.45,No
T1-1-5,T1_0.45,E1,5,90,61.3,No
T1-2-1,T1_0.45,E2,1,15,70.35,No
T1-2-2,T1_0.45,E2,2,15,48.79,No
T1-2-3,T1_0.45,E2,3,15,46.21,No
T1-2-4,T1_0.45,E2,4,15,47.46,No
T1-2-5,T1_0.45,E2,5,15,29.87,No
T1-3-1,T1_0.45,E3,1,45,79.61,No
T1-3-2,T1_0.45,E3,2,45,52.13,No
T1-3-3,T1_0.45,E3,3,35,50.42,No
T1-3-4,T1_0.45,E3,4,35,59.49,No
T1-3-5,T1_0.45,E3,5,35,73,No
T1-4-1,T1_0.45,E4,1,35,119.7,No
T1-4-2,T1_0.45,E4,2,35,51.62,No
T1-4-3,T1_0.45,E4,3,75,109.86,No
T1-4-4,T1_0.45,E4,4,75,81.88,No
T1-4-5,T1_0.45,E4,5,75,78.31,No
T2-1-1,T2_0.8,E1,1,60,66.31,No
T2-1-2,T2_0.8,E1,2,60,54.82,No
T2-1-3,T2_0.8,E1,3,60,76.47,No
T2-1-4,T2_0.8,E1,4,75,70.95,No
T2-1-5,T2_0.8,E1,5,75,56.79,No
T2-2-1,T2_0.8,E2,1,10,58.1,No
T2-2-2,T2_0.8,E2,2,10,57.45,No
T2-2-3,T2_0.8,E2,3,5,1.15,Yes
T2-2-4,T2_0.8,E2,4,15,49.39,No
T2-2-5,T2_0.8,E2,5,15,42.46,No
T2-3-1,T2_0.8,E3,1,20,97.22,No
T2-3-2,T2_0.8,E3,2,10,75.43,No
T2-3-3,T2_0.8,E3,3,25,75.83,No
T2-3-4,T2_0.8,E3,4,25,53.93,No
T2-3-5,T2_0.8,E3,5,25,35.61,No
T2-4-1,T2_0.8,E4,1,35,68.18,No
T2-4-2,T2_0.8,E4,2,35,42.02,No
T2-4-3,T2_0.8,E4,3,40,78.26,No
T2-4-4,T2_0.8,E4,4,50,77.73,No
T2-4-5,T2_0.8,E4,5,50,79.09,No
T3-1-1,T3_1.2,E1,1,60,24.1,No
T3-1-2,T3_1.2,E1,2,60,21.54,No
T3-1-3,T3_1.2,E1,3,60,2.15,Yes
T3-1-4,T3_1.2,E1,4,60,21.92,No
T3-1-5,T3_1.2,E1,5,60,38.26,No
T3-2-1,T3_1.2,E2,1,5,48.4,No
T3-2-2,T3_1.2,E2,2,5,25.14,No
T3-2-3,T3_1.2,E2,3,3,27.72,No
T3-2-4,T3_1.2,E2,4,3,33.61,No
T3-2-5,T3_1.2,E2,5,3,37.05,No
T3-3-1,T3_1.2,E3,1,10,70.69,No
T3-3-2,T3_1.2,E3,2,10,73.37,No
T3-3-3,T3_1.2,E3,3,5,53.99,No
T3-3-4,T3_1.2,E3,4,10,67.33,No
T3-3-5,T3_1.2,E3,5,10,44.52,No
T3-4-1,T3_1.2,E4,1,65,88.49,No
T3-4-2,T3_1.2,E4,2,65,94.04,No
T3-4-3,T3_1.2,E4,3,30,98.07,No
T3-4-4,T3_1.2,E4,4,35,85.81,No
T3-4-5,T3_1.2,E4,5,35,81.27,No
T4-1-1,T4_Sterivex,E1,1,90,20.53,No
T4-1-2,T4_Sterivex,E1,2,100,14.25,No
T4-1-3,T4_Sterivex,E1,3,120,8.68,Yes
T4-1-4,T4_Sterivex,E1,4,100,23.17,No
T4-1-5,T4_Sterivex,E1,5,90,25.1,No
T4-2-1,T4_Sterivex,E2,1,30,29.67,No
T4-2-2,T4_Sterivex,E2,2,30,45.01,No
T4-2-3,T4_Sterivex,E2,3,45,30.62,No
T4-2-4,T4_Sterivex,E2,4,45,28.96,No
T4-2-5,T4_Sterivex,E2,5,45,33.56,No
T4-3-1,T4_Sterivex,E3,1,60,44.6,No
T4-3-2,T4_Sterivex,E3,2,60,34.45,No
T4-3-3,T4_Sterivex,E3,3,60,51.68,No
T4-3-4,T4_Sterivex,E3,4,60,29.1,No
T4-3-5,T4_Sterivex,E3,5,60,27.51,No
T4-4-1,T4_Sterivex,E4,1,90,33.02,No
T4-4-2,T4_Sterivex,E4,2,90,44.33,No
T4-4-3,T4_Sterivex,E4,3,50,51.34,No
T4-4-4,T4_Sterivex,E4,4,50,43.77,No
T4-4-5,T4_Sterivex,E4,5,60,39.76,No
T5-1-1,T5_PF_0.45,E1,1,60,47.25,No
T5-1-2,T5_PF_0.45,E1,2,60,17.73,No
T5-1-3,T5_PF_0.45,E1,3,60,25.47,No
T5-1-4,T5_PF_0.45,E1,4,60,22.73,No
T5-1-5,T5_PF_0.45,E1,5,60,64.55,No
T5-2-1,T5_PF_0.45,E2,1,5,47.48,No
T5-2-2,T5_PF_0.45,E2,2,5,44.54,No
T5-2-3,T5_PF_0.45,E2,3,5,40.26,No
T5-2-4,T5_PF_0.45,E2,4,5,59.81,No
T5-2-5,T5_PF_0.45,E2,5,5,44.65,No
