X,Y,Estimate
1,2,0.99
1,3,0.974
1,4,0.995
1,5,0.984
1,6,0.99
1,7,0.989
1,8,1
1,9,0.946
1,10,0.99
1,11,0.983
1,12,0.985
1,13,0.969
1,14,0.991
1,15,1
1,16,0.92
1,17,0.755
1,18,0.984
1,19,0.925
1,20,0.993
1,21,0.971
1,22,0.99
1,23,0.957
1,24,0.97
1,25,0.985
1,26,0.963
1,27,0.945
1,28,0.937
1,29,0.963
1,30,0.888
2,3,0.996
2,4,0.984
2,5,0.966
2,6,0.988
2,7,0.989
2,8,0.986
2,9,0.97
2,10,0.968
2,11,0.976
2,12,0.992
2,13,0.979
2,14,0.991
2,15,0.993
2,16,0.915
2,17,0.803
2,18,0.989
2,19,0.956
2,20,0.974
2,21,0.978
2,22,0.987
2,23,0.986
2,24,0.958
2,25,0.984
2,26,0.953
2,27,0.939
2,28,0.971
2,29,0.989
2,30,0.889
3,4,0.972
3,5,0.949
3,6,0.981
3,7,0.974
3,8,0.968
3,9,0.98
3,10,0.95
3,11,0.964
3,12,0.988
3,13,0.976
3,14,0.982
3,15,0.979
3,16,0.914
3,17,0.81
3,18,0.978
3,19,0.974
3,20,0.953
3,21,0.968
3,22,0.973
3,23,0.997
3,24,0.938
3,25,0.976
3,26,0.942
3,27,0.939
3,28,0.982
3,29,0.996
3,30,0.892
4,5,0.991
4,6,0.997
4,7,0.972
4,8,0.995
4,9,0.962
4,10,0.996
4,11,0.991
4,12,0.991
4,13,0.979
4,14,0.992
4,15,0.994
4,16,0.954
4,17,0.733
4,18,0.964
4,19,0.943
4,20,0.98
4,21,0.967
4,22,0.985
4,23,0.958
4,24,0.967
4,25,0.993
4,26,0.979
4,27,0.969
4,28,0.933
4,29,0.954
4,30,0.926
5,6,0.981
5,7,0.962
5,8,0.985
5,9,0.949
5,10,0.99
5,11,0.997
5,12,0.982
5,13,0.98
5,14,0.989
5,15,0.981
5,16,0.953
5,17,0.757
5,18,0.942
5,19,0.922
5,20,0.963
5,21,0.975
5,22,0.987
5,23,0.937
5,24,0.987
5,25,0.992
5,26,0.993
5,27,0.942
5,28,0.926
5,29,0.925
5,30,0.933
6,7,0.967
6,8,0.988
6,9,0.974
6,10,0.989
6,11,0.986
6,12,0.994
6,13,0.98
6,14,0.989
6,15,0.99
6,16,0.959
6,17,0.732
6,18,0.964
6,19,0.961
6,20,0.973
6,21,0.962
6,22,0.978
6,23,0.97
6,24,0.952
6,25,0.992
6,26,0.972
6,27,0.978
6,28,0.942
6,29,0.965
6,30,0.931
7,8,0.986
7,9,0.931
7,10,0.96
7,11,0.965
7,12,0.973
7,13,0.961
7,14,0.984
7,15,0.991
7,16,0.871
7,17,0.823
7,18,0.994
7,19,0.907
7,20,0.981
7,21,0.98
7,22,0.991
7,23,0.958
7,24,0.971
7,25,0.969
7,26,0.939
7,27,0.895
7,28,0.954
7,29,0.97
7,30,0.843
8,9,0.94
8,10,0.993
8,11,0.982
8,12,0.981
8,13,0.966
8,14,0.988
8,15,0.999
8,16,0.92
8,17,0.744
8,18,0.98
8,19,0.918
8,20,0.994
8,21,0.968
8,22,0.989
8,23,0.95
8,24,0.97
8,25,0.983
8,26,0.963
8,27,0.944
8,28,0.928
8,29,0.957
8,30,0.887
9,10,0.938
9,11,0.97
9,12,0.986
9,13,0.987
9,14,0.973
9,15,0.949
9,16,0.962
9,17,0.797
9,18,0.926
9,19,0.994
9,20,0.906
9,21,0.959
9,22,0.954
9,23,0.986
9,24,0.929
9,25,0.979
9,26,0.963
9,27,0.954
9,28,0.974
9,29,0.962
9,30,0.954
10,11,0.984
10,12,0.976
10,13,0.961
10,14,0.979
10,15,0.987
10,16,0.948
10,17,0.69
10,18,0.951
10,19,0.918
10,20,0.982
10,21,0.949
10,22,0.974
10,23,0.932
10,24,0.96
10,25,0.982
10,26,0.972
10,27,0.965
10,28,0.902
10,29,0.931
10,30,0.915
11,12,0.992
11,13,0.993
11,14,0.995
11,15,0.982
11,16,0.962
11,17,0.783
11,18,0.946
11,19,0.945
11,20,0.956
11,21,0.984
11,22,0.99
11,23,0.957
11,24,0.985
